Periodo,Nombre del Alumno,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Subject 7,Subject 8,Subject 9,Subject 10,Subject 11,Subject 12
1,Student 33 1A,60,53,95,100,11,37,0,9,39,24,15,70
1,Student 34 1A,69,86,25,97,2,8,69,17,82,1,40,57
1,Student 35 1A,28,42,86,4,75,29,53,100,33,53,60,5
1,Student 36 1A,23,37,93,36,69,38,91,61,4,59,7,36
1,Student 37 1A,39,96,94,97,33,61,14,100,80,12,92,60
1,Student 38 1A,55,85,88,48,1,26,78,14,98,84,27,53
1,Student 39 1A,87,65,72,80,94,99,8,83,84,76,36,89
1,Student 40 1A,56,85,50,45,45,23,59,39,100,69,51,36
1,Student 41 1A,13,40,44,89,90,95,89,3,38,90,37,25
1,Student 42 1A,29,0,34,40,51,24,29,24,28,60,73,19
1,Student 43 1A,19,54,16,14,85,46,89,15,26,88,15,9
1,Student 44 1A,38,75,28,71,89,46,91,41,56,34,73,67
1,Student 45 1A,15,29,72,70,30,66,24,2,46,7,75,2
1,Student 46 1A,20,22,66,8,84,19,91,57,45,78,89,53
1,Student 47 1A,86,51,50,21,78,45,88,55,34,96,76,65
1,Student 48 1A,96,66,21,6,84,94,16,51,47,81,81,32
1,Student 49 1A,43,8,35,41,65,44,1,74,15,46,76,72
1,Student 50 1A,77,60,42,53,83,29,10,69,74,64,0,26
1,Student 1 1B,18,80,54,61,55,40,79,3,44,46,5,78
1,Student 2 1B,86,42,92,93,97,82,46,43,1,68,70,87
1,Student 3 1B,52,93,7,87,10,26,89,34,68,43,86,23
1,Student 4 1B,99,75,21,74,22,99,71,72,53,13,99,28
1,Student 5 1B,0,35,93,51,62,92,24,82,32,54,91,53
1,Student 6 1B,84,44,56,18,79,76,35,55,38,13,74,60
1,Student 7 1B,40,22,25,5,11,93,100,23,73,18,13,82
1,Student 8 1B,61,41,91,35,64,6,26,27,98,2,91,81
1,Student 9 1B,4,1,95,50,95,64,94,2,45,71,21,15
1,Student 10 1B,54,41,71,55,31,9,91,93,4,98,27,21
1,Student 11 1B,54,13,20,27,20,62,69,84,50,99,41,21
1,Student 12 1B,100,7,10,7,92,21,29,15,84,61,63,33
1,Student 13 1B,21,91,67,68,91,78,100,29,38,14,1,97
1,Student 14 1B,77,35,33,87,17,66,5,54,81,51,67,63
1,Student 15 1B,26,50,76,72,53,4,71,79,61,11,95,40
1,Student 16 1B,91,92,69,14,6,30,56,91,20,82,29,29
1,Student 17 1B,43,22,87,32,13,45,80,100,0,20,29,88
1,Student 18 1B,83,39,83,69,92,69,13,99,31,22,30,74
1,Student 19 1B,78,2,11,7,63,8,51,25,86,63,32,68
1,Student 20 1B,30,56,78,83,74,73,94,95,92,39,91,48
1,Student 21 1B,29,80,27,54,24,55,84,13,82,1,28,85
1,Student 22 1B,50,26,80,23,83,87,46,9,30,76,72,7
1,Student 23 1B,38,46,40,42,41,67,15,52,100,58,6,76
1,Student 24 1B,33,54,61,70,16,38,38,18,83,82,69,43
1,Student 25 1B,58,71,75,5,27,95,18,34,83,1,80,9
1,Student 26 1B,65,17,13,8,44,2,60,64,59,84,86,84
1,Student 27 1B,13,95,58,54,64,19,3,70,75,98,35,62
1,Student 28 1B,28,72,66,49,6,57,62,7,27,49,90,85
1,Student 29 1B,17,5,10,19,39,12,91,18,86,76,21,95
1,Student 30 1B,8,76,100,76,51,49,72,99,33,11,65,25
1,Student 31 1B,88,98,23,10,13,66,73,51,35,55,46,72
1,Student 32 1B,1,92,5,6,59,74,59,8,23,55,93,99
1,Student 33 1B,2,64,49,84,18,13,10,58,6,57,89,96
1,Student 34 1B,56,48,54,83,57,76,74,49,85,30,22,12
1,Student 35 1B,97,3,9,32,96,95,86,31,15,45,18,26
1,Student 36 1B,3,67,23,34,6,98,65,72,74,34,87,8
1,Student 37 1B,88,34,38,49,25,73,82,61,1,39,18,100
1,Student 38 1B,79,77,53,31,22,10,88,50,27,49,41,34
1,Student 39 1B,24,11,36,53,89,20,37,30,61,51,20,56
1,Student 40 1B,14,55,19,73,42,77,22,62,97,3,1,32
1,Student 41 1B,26,93,89,47,73,50,79,44,17,20,3,47
1,Student 42 1B,34,15,99,11,27,21,79,69,62,39,3,3
1,Student 43 1B,62,25,87,28,39,22,37,32,37,73,68,73
1,Student 44 1B,42,29,95,22,70,70,55,81,41,36,21,16
1,Student 45 1B,29,9,72,94,18,91,12,75,42,22,38,61
1,Student 46 1B,9,58,47,46,96,64,74,11,74,11,39,11
1,Student 47 1B,21,88,49,93,37,47,90,78,67,49,34,79
1,Student 48 1B,72,15,10,98,30,74,91,6,9,2,26,58
1,Student 49 1B,4,78,34,57,64,53,1,93,96,80,29,63
1,Student 50 1B,62,93,8,82,100,64,52,57,6,100,72,25
1,Student 1 2A,29,90,41,83,43,90,8,8,89,1,17,99
1,Student 2 2A,34,29,52,51,20,41,1,7,60,74,96,77
1,Student 3 2A,58,35,86,51,23,15,96,75,58,79,98,73
1,Student 4 2A,56,65,32,61,52,7,95,61,99,27,89,61
1,Student 5 2A,88,89,26,67,22,80,15,4,74,37,45,26
1,Student 6 2A,88,2,14,6,20,54,37,41,57,81,81,89
1,Student 7 2A,41,5,31,22,14,67,67,47,65,17,63,79
1,Student 8 2A,45,71,21,45,72,0,16,100,9,5,10,57
1,Student 9 2A,47,78,98,96,12,9,44,75,18,22,50,97
1,Student 10 2A,44,97,6,20,82,42,90,47,24,81,86,69
1,Student 11 2A,63,5,58,26,19,77,58,84,51,73,8,68
1,Student 12 2A,97,79,62,68,9,53,35,74,44,28,55,68
1,Student 13 2A,47,94,68,76,47,51,64,43,48,98,20,55
1,Student 14 2A,87,63,71,43,12,94,97,32,39,50,56,17
1,Student 15 2A,78,29,18,94,96,15,98,40,99,53,31,43
1,Student 16 2A,22,40,61,76,19,0,37,72,84,2,8,63
1,Student 17 2A,86,3,92,74,40,79,71,44,71,20,27,86
1,Student 18 2A,17,59,89,92,58,11,35,43,0,41,68,15
1,Student 19 2A,17,36,21,28,93,50,61,47,46,80,2,24
1,Student 20 2A,81,38,12,50,11,44,72,79,22,26,59,25
1,Student 21 2A,100,88,8,8,80,69,53,19,63,74,92,50
1,Student 22 2A,72,51,10,90,33,34,35,34,25,9,62,23
1,Student 23 2A,40,14,48,3,24,82,91,100,44,82,81,7
1,Student 24 2A,10,98,20,35,21,80,3,84,31,7,35,23
1,Student 25 2A,6,18,41,2,26,49,57,21,84,92,85,85
1,Student 26 2A,54,39,88,25,77,52,72,55,72,39,9,68
1,Student 27 2A,60,71,48,75,96,87,43,19,7,83,18,47
1,Student 28 2A,96,22,23,18,38,19,91,22,85,71,80,13
1,Student 29 2A,65,19,33,46,0,69,95,88,28,51,89,51
1,Student 30 2A,5,50,58,36,88,66,13,84,45,91,87,1
1,Student 31 2A,26,3,91,98,69,2,52,56,28,9,59,66
1,Student 32 2A,39,22,42,34,14,77,87,79,84,77,73,64
1,Student 33 2A,7,100,11,12,68,24,20,61,45,25,4,98
1,Student 34 2A,18,9,59,47,80,27,63,1,9,84,14,4
1,Student 35 2A,98,79,32,75,37,70,6,37,30,91,9,69
1,Student 36 2A,5,21,56,35,43,81,72,5,64,35,81,49
1,Student 37 2A,71,76,10,60,58,94,33,58,84,40,52,1
1,Student 38 2A,69,23,77,46,5,96,15,95,72,38,92,36
1,Student 39 2A,62,79,4,86,52,7,29,13,5,0,35,24
1,Student 40 2A,26,72,11,82,14,9,2,46,42,12,59,87
1,Student 41 2A,39,97,97,87,16,58,37,93,43,29,13,95
1,Student 42 2A,81,27,98,96,82,53,31,4,49,46,73,52
1,Student 43 2A,82,23,73,69,98,16,6,12,2,85,47,74
1,Student 44 2A,52,51,5,87,39,52,81,7,84,31,15,47
1,Student 45 2A,21,48,29,36,32,18,83,23,36,95,62,68
1,Student 46 2A,8,7,12,65,26,38,95,71,72,94,18,91
1,Student 47 2A,76,54,1,59,37,83,100,46,88,2,18,37
1,Student 48 2A,39,76,17,97,91,52,77,10,54,22,7,87
1,Student 49 2A,89,48,48,92,11,4,18,58,55,1,37,21
1,Student 50 2A,35,21,10,61,34,51,68,40,40,60,22,2
1,Student 1 2B,43,3,2,17,49,45,85,48,59,8,0,61
1,Student 2 2B,51,84,63,6,85,10,49,54,43,36,93,42
1,Student 3 2B,21,80,86,53,37,45,92,78,49,70,7,60
1,Student 4 2B,19,50,3,95,64,13,53,53,46,80,89,37
1,Student 5 2B,44,82,31,28,12,3,4,76,8,31,7,67
1,Student 6 2B,68,95,91,91,3,41,61,27,83,60,21,36
1,Student 7 2B,4,48,32,17,28,32,66,96,14,63,24,2
1,Student 8 2B,92,14,32,27,77,51,51,0,43,97,78,79
1,Student 9 2B,97,88,5,68,9,93,95,1,99,29,85,31
1,Student 10 2B,78,62,10,73,2,54,24,9,20,86,46,27
1,Student 11 2B,42,88,83,52,0,15,95,46,52,38,40,72
1,Student 12 2B,88,16,98,92,75,8,54,58,34,38,77,90
1,Student 13 2B,23,17,70,79,50,60,62,51,29,90,43,22
1,Student 14 2B,89,16,69,64,40,42,23,7,2,26,46,72
1,Student 15 2B,88,48,82,70,18,22,39,63,92,90,9,77
1,Student 16 2B,64,52,98,46,81,94,58,87,25,92,26,38
1,Student 17 2B,24,42,69,7,22,18,20,62,33,38,96,47
1,Student 18 2B,60,93,83,75,85,91,71,46,17,14,54,84
1,Student 19 2B,26,16,63,81,69,30,1,14,98,18,32,66
1,Student 20 2B,50,20,58,17,23,43,11,74,22,86,46,7
1,Student 21 2B,17,5,78,25,1,74,2,5,28,91,88,63
1,Student 22 2B,55,41,2,52,40,6,84,36,3,9,30,29
1,Student 23 2B,43,38,50,68,36,24,25,86,24,26,27,36
1,Student 24 2B,43,24,49,69,83,13,21,2,43,67,77,81
1,Student 25 2B,27,93,22,38,33,15,100,80,75,56,43,80
1,Student 26 2B,80,21,21,85,70,97,49,74,80,30,94,21
1,Student 27 2B,39,23,8,30,10,45,50,82,94,34,98,15
1,Student 28 2B,17,100,57,56,9,32,10,7,76,98,88,31
1,Student 29 2B,34,69,15,22,77,69,27,40,53,48,68,41
1,Student 30 2B,23,49,62,44,76,24,77,12,20,73,87,34
1,Student 31 2B,45,38,100,1,25,63,52,78,70,58,91,57
1,Student 32 2B,42,89,33,100,5,99,93,72,40,2,21,23
1,Student 33 2B,6,88,91,15,73,24,16,62,98,43,94,56
1,Student 34 2B,53,75,11,72,20,13,54,1,59,12,25,84
1,Student 35 2B,65,86,17,6,4,64,44,25,70,61,52,9
1,Student 36 2B,4,96,59,22,88,25,56,100,18,87,77,13
1,Student 37 2B,64,65,38,7,32,43,75,83,11,68,24,86
1,Student 38 2B,75,6,33,60,37,13,11,60,19,44,13,53
1,Student 39 2B,73,73,82,26,34,36,6,59,2,54,39,5
1,Student 40 2B,16,64,98,33,24,53,33,24,68,44,88,84
1,Student 41 2B,10,64,62,99,45,5,4,25,17,49,63,45
1,Student 42 2B,33,70,6,65,63,75,36,87,54,23,86,8
1,Student 43 2B,13,9,0,72,44,69,75,72,17,42,85,15
1,Student 44 2B,20,21,15,19,91,21,41,22,90,8,62,3
1,Student 45 2B,13,12,52,25,63,73,22,35,35,63,38,84
1,Student 46 2B,27,87,75,30,78,56,46,42,84,21,93,47
1,Student 47 2B,57,5,55,12,32,84,50,30,98,78,22,64
1,Student 48 2B,48,36,94,10,25,54,26,68,2,83,37,87
1,Student 49 2B,93,34,27,13,71,25,1,44,52,18,65,98
1,Student 50 2B,90,72,71,60,14,82,83,98,58,46,90,87
1,Student 1 3A,53,23,30,48,64,55,36,13,96,68,90,15
1,Student 2 3A,60,56,28,57,55,72,58,58,3,20,58,94
1,Student 3 3A,49,56,36,73,69,43,15,30,51,21,15,82
1,Student 4 3A,88,24,64,45,97,43,64,10,87,48,46,28
1,Student 5 3A,20,40,7,56,62,17,94,57,84,82,8,70
1,Student 6 3A,63,31,69,87,92,20,80,44,81,70,60,100
1,Student 7 3A,23,95,61,79,1,87,90,5,16,83,75,10
1,Student 8 3A,55,1,8,48,23,13,37,17,25,12,6,37
1,Student 9 3A,40,38,29,11,17,77,18,56,71,35,21,2
1,Student 10 3A,12,51,46,91,49,48,65,48,5,76,0,89
1,Student 11 3A,95,67,11,88,41,87,62,78,63,96,35,5
1,Student 12 3A,31,9,43,70,53,19,92,79,56,60,54,50
1,Student 13 3A,40,79,31,70,80,66,42,65,41,51,61,59
1,Student 14 3A,81,18,91,38,83,6,89,87,16,43,64,82
1,Student 15 3A,82,89,17,55,3,45,50,24,67,21,76,82
1,Student 16 3A,35,49,31,17,71,6,82,69,62,81,91,63
1,Student 17 3A,62,92,57,10,60,24,19,44,80,61,97,70
1,Student 18 3A,50,56,83,2,15,74,59,55,69,33,57,96
1,Student 19 3A,35,24,18,15,87,48,59,22,3,88,26,84
1,Student 20 3A,65,10,67,36,22,8,2,21,52,78,69,1
1,Student 21 3A,53,48,17,14,87,40,36,58,67,38,38,20
1,Student 22 3A,85,11,84,74,25,29,58,66,90,3,17,75
1,Student 23 3A,82,0,11,11,26,48,75,33,20,5,22,67
1,Student 24 3A,98,21,85,2,0,76,59,38,11,20,36,77
1,Student 25 3A,92,41,32,14,2,39,5,66,8,0,85,97
1,Student 26 3A,5,80,87,8,100,19,77,73,62,33,44,15
1,Student 27 3A,75,15,39,10,66,41,9,48,65,36,71,62
1,Student 28 3A,94,69,63,23,73,12,9,83,55,87,77,60
1,Student 29 3A,65,62,36,63,84,17,78,49,8,28,63,45
1,Student 30 3A,31,24,98,21,86,83,17,14,7,51,92,73
1,Student 31 3A,9,12,45,15,27,57,33,16,41,12,15,53
1,Student 32 3A,14,41,20,61,60,49,41,6,33,38,14,45
1,Student 33 3A,18,54,74,11,21,67,76,76,84,7,37,42
1,Student 34 3A,52,6,100,64,81,1,3,37,89,52,9,54
1,Student 35 3A,84,80,89,23,31,65,55,76,11,66,23,13
1,Student 36 3A,66,53,28,80,6,80,39,87,94,8,8,100
1,Student 37 3A,6,31,60,18,27,38,52,18,47,79,37,86
1,Student 38 3A,56,79,91,43,12,44,75,31,20,6,38,46
1,Student 39 3A,88,36,16,43,47,47,91,92,85,49,90,68
1,Student 40 3A,77,22,80,11,70,7,63,90,1,2,55,59
1,Student 41 3A,62,11,33,19,22,46,77,82,34,52,7,12
1,Student 42 3A,86,26,19,6,64,97,28,26,19,9,55,75
1,Student 43 3A,38,80,72,21,52,43,84,92,38,38,11,50
1,Student 44 3A,47,79,4,49,94,34,30,98,9,27,38,24
1,Student 45 3A,78,37,58,83,32,71,53,50,49,79,77,97
1,Student 46 3A,14,94,68,1,85,16,58,64,10,71,40,10
1,Student 47 3A,96,73,40,57,52,22,27,39,13,90,90,73
1,Student 48 3A,50,75,30,54,44,92,3,47,10,45,80,57
1,Student 49 3A,55,5,86,18,57,88,54,69,23,39,92,24
1,Student 50 3A,76,55,22,67,15,29,74,73,91,59,89,83
1,Student 1 3B,52,28,63,46,8,86,63,92,48,61,84,88
1,Student 2 3B,2,62,73,53,43,69,10,70,23,11,17,23
1,Student 3 3B,43,30,71,97,98,28,62,91,22,32,37,52
1,Student 4 3B,49,29,13,52,62,58,73,88,45,92,78,84
1,Student 5 3B,4,34,78,56,23,83,20,9,90,84,25,46
1,Student 6 3B,13,73,92,100,41,89,1,1,85,84,74,28
1,Student 7 3B,5,99,24,98,26,25,72,25,70,36,75,81
1,Student 8 3B,70,83,7,1,57,85,100,12,64,15,80,19
1,Student 9 3B,58,48,86,92,5,91,9,30,46,63,98,12
1,Student 10 3B,60,29,1,18,49,22,1,55,79,33,55,39
1,Student 11 3B,58,49,54,77,12,37,29,59,89,93,35,91
1,Student 12 3B,74,100,75,27,3,35,37,64,3,3,60,37
1,Student 13 3B,1,74,33,10,19,10,61,66,55,100,16,97
1,Student 14 3B,73,11,17,96,99,45,37,54,94,76,55,81
1,Student 15 3B,13,18,47,1,12,39,56,90,0,20,61,91
1,Student 16 3B,63,9,59,27,52,36,14,7,73,91,81,91
1,Student 17 3B,6,48,97,97,52,72,80,83,84,56,88,96
1,Student 18 3B,84,85,71,31,75,13,69,50,8,23,28,86
1,Student 19 3B,24,54,77,81,3,36,28,47,38,32,93,57
1,Student 20 3B,19,71,41,71,0,50,83,7,64,46,28,71
1,Student 21 3B,100,30,30,81,33,4,50,22,83,87,80,57
1,Student 22 3B,90,45,28,82,80,72,78,28,37,34,98,75
1,Student 23 3B,80,58,27,48,11,41,34,8,10,86,17,10
1,Student 24 3B,10,59,40,41,9,94,98,53,3,38,79,28
1,Student 25 3B,72,38,24,0,41,79,84,90,22,27,75,8
1,Student 26 3B,36,38,29,87,72,39,75,9,8,7,73,2
1,Student 27 3B,77,52,51,39,80,9,58,71,37,16,34,1
1,Student 28 3B,13,29,77,97,76,52,14,15,79,81,58,91
1,Student 29 3B,66,58,61,84,97,57,68,2,18,49,29,75
1,Student 30 3B,59,90,71,54,95,31,34,76,89,57,15,28
1,Student 31 3B,100,0,70,73,31,54,11,53,50,42,12,26
1,Student 32 3B,13,78,77,63,84,18,80,66,99,4,4,17
1,Student 33 3B,67,58,54,59,78,65,89,53,62,48,58,91
1,Student 34 3B,28,16,66,47,15,91,35,47,81,84,43,56
1,Student 35 3B,20,72,95,96,7,71,95,29,84,7,0,100
1,Student 36 3B,68,18,83,88,10,7,62,18,0,70,92,73
1,Student 37 3B,55,39,32,90,80,73,31,71,12,39,58,73
1,Student 38 3B,7,40,98,24,70,12,72,49,27,96,57,2
1,Student 39 3B,86,67,37,62,70,91,37,90,69,91,31,45
1,Student 40 3B,64,86,77,33,95,12,88,93,51,5,86,3
1,Student 41 3B,93,53,83,42,78,88,80,95,97,24,72,5
1,Student 42 3B,81,13,78,36,75,46,8,54,96,49,19,15
1,Student 43 3B,82,48,16,57,77,23,57,47,36,96,91,6
1,Student 44 3B,68,39,97,30,88,13,40,92,2,5,52,17
1,Student 45 3B,40,90,93,53,35,27,95,46,85,7,10,39
1,Student 46 3B,1,41,9,93,39,86,75,15,43,70,37,56
1,Student 47 3B,40,37,45,95,69,27,59,46,49,86,7,80
1,Student 48 3B,24,10,47,65,52,88,77,3,96,47,62,56
1,Student 49 3B,89,12,75,29,100,38,20,28,3,25,90,26
1,Student 50 3B,96,28,91,77,47,8,25,22,96,34,16,67
1,Student 1 4A,49,22,99,60,42,68,88,81,40,83,26,67
1,Student 2 4A,24,1,21,46,88,59,53,19,56,20,62,75
1,Student 3 4A,69,74,55,40,3,30,1,35,66,56,3,53
1,Student 4 4A,89,65,99,85,35,90,86,42,13,34,97,94
1,Student 5 4A,96,10,20,31,18,11,52,83,16,70,33,65
1,Student 6 4A,82,48,74,68,64,0,2,23,52,59,61,93
1,Student 7 4A,15,14,63,32,81,10,92,47,60,76,84,43
1,Student 8 4A,69,20,61,61,58,49,34,99,80,92,37,25
1,Student 9 4A,60,7,12,85,83,75,18,75,84,60,45,15
1,Student 10 4A,37,64,87,27,65,9,58,58,59,94,27,16
1,Student 11 4A,60,5,37,78,22,7,24,27,41,59,20,18
1,Student 12 4A,19,86,14,5,93,28,31,61,27,29,80,57
1,Student 13 4A,39,60,75,57,86,29,75,73,76,17,62,69
1,Student 14 4A,51,3,72,32,15,60,34,97,74,2,67,26
1,Student 15 4A,15,81,53,6,80,52,90,5,96,3,98,69
1,Student 16 4A,12,93,26,13,43,36,87,91,81,4,45,30
1,Student 17 4A,47,63,8,33,47,29,74,80,56,26,49,79
1,Student 18 4A,44,97,81,80,63,62,59,67,2,4,100,64
1,Student 19 4A,4,38,84,28,60,21,37,0,29,31,2,100
1,Student 20 4A,61,44,86,60,72,21,51,45,68,55,49,80
1,Student 21 4A,84,80,57,27,76,5,94,66,94,80,31,4
1,Student 22 4A,55,52,36,66,35,10,53,72,100,79,96,57
1,Student 23 4A,53,5,98,4,35,55,54,55,39,81,32,94
1,Student 24 4A,66,28,64,71,34,5,62,14,61,88,3,75
1,Student 25 4A,19,29,21,64,38,42,32,13,4,18,80,56
1,Student 26 4A,69,27,14,96,95,55,44,3,46,84,94,80
1,Student 27 4A,68,74,90,60,70,55,30,17,43,23,85,12
1,Student 28 4A,65,34,51,52,51,90,22,26,47,32,3,73
1,Student 29 4A,26,53,55,57,17,100,95,36,97,13,86,19
1,Student 30 4A,61,24,27,77,72,33,80,48,49,60,74,7
1,Student 31 4A,19,4,51,34,18,0,48,12,58,22,99,59
1,Student 32 4A,22,96,80,72,22,3,20,86,89,37,45,85
1,Student 33 4A,53,61,94,84,11,16,11,78,28,38,75,24
1,Student 34 4A,67,71,65,61,9,14,10,33,98,68,70,50
1,Student 35 4A,70,21,50,83,34,94,47,16,4,97,51,67
1,Student 36 4A,92,5,46,55,89,61,61,75,44,11,3,7
1,Student 37 4A,24,19,70,54,26,4,85,84,22,94,37,54
1,Student 38 4A,41,37,11,32,65,21,55,2,76,55,58,93
1,Student 39 4A,77,7,67,26,74,7,78,4,84,14,71,72
1,Student 40 4A,85,79,95,68,25,19,63,7,47,67,98,47
1,Student 41 4A,27,40,96,62,76,64,27,57,92,2,71,77
1,Student 42 4A,60,61,83,25,1,38,47,64,93,99,59,47
1,Student 43 4A,1,17,19,44,61,86,6,74,99,59,50,3
1,Student 44 4A,92,93,35,57,80,9,28,81,39,55,35,31
1,Student 45 4A,13,32,5,46,50,8,49,87,52,69,64,83
1,Student 46 4A,93,40,37,37,92,58,89,65,1,94,42,82
1,Student 47 4A,5,20,96,14,67,64,35,88,24,63,95,21
1,Student 48 4A,70,43,59,16,21,78,43,22,59,84,91,25
1,Student 49 4A,40,97,10,47,38,38,2,54,18,64,98,53
1,Student 50 4A,31,40,24,27,84,39,43,47,86,78,47,81
1,Student 1 4B,43,53,36,54,45,82,19,74,26,36,62,40
1,Student 2 4B,74,45,35,96,51,10,58,7,21,40,27,92
1,Student 3 4B,96,33,36,7,19,79,45,9,52,91,35,28
1,Student 4 4B,54,76,65,16,51,30,26,1,57,86,98,54
1,Student 5 4B,56,65,100,56,4,55,100,89,30,67,98,28
1,Student 6 4B,5,86,29,0,17,96,100,17,92,64,97,51
1,Student 7 4B,44,6,17,95,79,94,89,84,62,75,70,64
1,Student 8 4B,73,90,60,55,16,56,4,64,92,35,0,11
1,Student 9 4B,16,68,14,41,96,8,72,6,54,26,27,13
1,Student 10 4B,11,50,46,41,32,13,5,97,6,20,37,10
1,Student 11 4B,41,78,74,8,78,71,85,16,95,23,38,83
1,Student 12 4B,0,31,1,67,34,1,81,64,22,29,69,88
1,Student 13 4B,76,22,88,18,80,48,82,47,31,72,27,51
1,Student 14 4B,52,55,8,76,42,7,59,85,77,58,30,65
1,Student 15 4B,25,19,83,87,83,75,10,91,82,85,70,11
1,Student 16 4B,87,24,80,11,85,68,62,61,19,42,36,39
1,Student 17 4B,26,92,98,88,58,7,70,52,20,52,48,54
1,Student 18 4B,21,53,38,8,18,100,27,11,18,24,35,62
1,Student 19 4B,11,92,10,83,43,48,76,100,58,64,90,53
1,Student 20 4B,56,75,60,21,25,11,33,21,25,57,63,33
1,Student 21 4B,72,94,68,0,13,69,82,44,22,92,69,17
1,Student 22 4B,98,10,88,38,66,78,96,66,1,38,60,74
1,Student 23 4B,15,99,82,28,38,1,71,7,34,47,82,79
1,Student 24 4B,81,58,44,29,45,86,80,49,54,40,23,71
1,Student 25 4B,57,3,75,91,81,72,45,0,60,53,14,74
1,Student 26 4B,58,100,26,49,32,21,95,13,96,62,79,7
1,Student 27 4B,68,70,72,8,87,26,22,92,47,74,55,8
1,Student 28 4B,85,98,24,16,83,72,72,32,91,92,4,90
1,Student 29 4B,45,71,4,70,23,14,30,19,80,17,55,58
1,Student 30 4B,86,97,14,6,47,65,84,55,71,49,37,95
1,Student 31 4B,75,70,72,96,40,70,85,46,71,67,74,27
1,Student 32 4B,61,0,80,0,17,45,25,15,63,29,87,30
1,Student 33 4B,7,14,5,26,60,6,28,97,19,48,66,64
1,Student 34 4B,46,6,39,69,8,66,77,92,70,100,54,68
1,Student 35 4B,72,84,14,56,46,80,19,58,52,26,3,69
1,Student 36 4B,3,45,31,10,72,24,87,87,4,48,46,11
1,Student 37 4B,19,19,33,17,77,91,21,13,51,62,30,37
1,Student 38 4B,88,7,95,49,65,98,70,3,88,65,75,30
1,Student 39 4B,44,86,53,8,1,25,56,3,12,10,57,78
1,Student 40 4B,87,51,98,87,14,73,49,69,37,47,31,45
1,Student 41 4B,52,20,72,54,82,9,96,87,37,100,67,21
1,Student 42 4B,65,48,90,60,54,90,9,84,1,41,61,24
1,Student 43 4B,89,96,49,96,80,79,46,2,18,54,3,36
1,Student 44 4B,10,89,33,24,4,98,37,93,88,70,20,67
1,Student 45 4B,90,16,98,85,7,65,82,39,71,14,39,98
1,Student 46 4B,44,38,16,66,83,16,91,97,25,33,85,91
1,Student 47 4B,73,38,83,64,98,20,29,13,44,66,66,53
1,Student 48 4B,73,82,1,68,96,10,52,35,70,27,26,83
1,Student 49 4B,45,100,70,83,22,2,85,83,59,54,63,50
1,Student 50 4B,1,44,28,88,65,91,50,99,19,1,75,27
1,Student 1 5A,85,99,97,17,33,58,72,13,97,51,63,12
1,Student 2 5A,30,9,65,94,78,72,66,65,70,23,46,38
1,Student 3 5A,49,43,32,4,35,52,37,13,52,51,85,94
1,Student 4 5A,18,98,48,88,91,21,34,36,46,63,13,10
1,Student 5 5A,94,60,94,21,52,6,87,12,8,10,6,32
1,Student 6 5A,56,47,5,24,0,34,34,6,70,21,63,43
